hour_num,sudden_traffic_count,total,hour_num,avg_hours_in_traffic,percentage
10,14534,1270012,10,1.5977707444612632,1.144398635603443
13,5372,1238319,13,1.3430752047654504,0.43381390417170373
12,7102,1266485,12,1.4210081667136019,0.5607646359806867
5,10555,1254908,5,2.0175272382756986,0.8410975147182104
4,10361,1232747,4,2.084933886690474,0.8404806501252893
6,11596,1275418,6,2.0081062435322523,0.9091921236802366
15,3137,1023448,15,1.240038253108065,0.3065128858525299
20,1055,269356,20,4.181990521327014,0.39167495804808505
14,4295,1165004,14,1.2356228172293364,0.3686682620832203
21,5979,427191,21,4.6395718347549755,1.399608137811892
0,11838,1027617,0,2.9181449569183986,1.1519856133170236
23,22326,814774,23,3.0466272507390486,2.7401463473306706
19,708,324370,19,3.0,0.2182692604124919
2,10855,1185819,2,2.3906955320128973,0.9154010856631577
9,19372,1273850,9,1.7467995044393971,1.5207442006515681
1,10346,1152752,1,2.6252658032089697,0.8975044068455313
11,11153,1270077,11,1.4930511969873577,0.8781357350774796
22,19402,592237,22,3.916915781878157,3.276053336755387
18,1022,466958,18,1.5567514677103718,0.218863366726772
3,11194,1209600,3,2.190548508129355,0.9254298941798942
8,17352,1281329,8,1.9049100968188104,1.354218939866342
7,13280,1285443,7,2.0308734939759034,1.0331068744393956
17,1542,633566,17,1.3761348897535668,0.24338427251462358
16,2347,826715,16,1.2901576480613548,0.28389469164101294
